TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         8.00        12.00
   2         8.00        13.00
   3        12.00        16.00
   4         9.00        15.00
   5        10.00        14.00
   6        10.00        16.00
   7        10.00        16.00
   8         8.00        14.00
   9        10.00        16.00
  10         7.50        11.50
  11         9.00        18.00
  12         7.00        11.00
  13         9.00        17.00
  14         9.00        13.00
  15         9.00        13.00
  16         9.00        18.00
  17        11.00        15.00
  18         8.00        14.00
  19        10.00        16.00
  20         9.00        14.00
  21         9.00        14.00
  22         9.00        13.00
  23        10.00        16.00
  24         9.00        13.00
  25         8.50        12.50
  26        13.00        17.00
  27        10.00        14.00
  28         7.00        11.00
  29         7.50        11.50
  30        13.00        18.00
  31         7.50        11.50
  32         8.00        12.00
  33         9.00        18.00
  34        12.00        17.00
  35         9.00        15.00
  36         8.00        14.00
  37         8.00        13.00
  38         8.00        12.00
  39        10.00        14.00
  40         8.50        12.50
  41         8.00        12.00
  42        14.00        18.00
  43         8.00        17.00
  44         9.00        13.00
  45         8.00        17.00
  46        14.00        18.00
  47        13.00        17.00
  48        14.00        18.00
  49         9.00        17.00
  50         8.50        12.50
