TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         8.00        17.00
   2         8.00        14.00
   3        13.00        17.00
   4        13.00        17.00
   5         9.00        18.00
   6         9.00        12.00
   7         9.00        18.00
   8        10.00        14.00
   9         9.00        15.00
  10        12.00        17.00
  11        13.00        17.00
  12         9.00        15.00
  13         8.50        12.50
  14         9.00        12.00
  15         9.00        15.00
  16        13.00        17.00
  17         8.00        13.00
  18         9.00        18.00
  19         9.00        18.00
  20        11.00        15.00
  21         8.00        13.00
  22        11.00        15.00
  23        10.00        16.00
  24         9.00        12.00
  25         9.00        18.00
  26        13.00        18.00
  27         8.00        14.00
  28        14.00        18.00
  29         8.50        12.50
  30         7.50        11.50
  31        11.00        15.00
  32         9.00        15.00
  33         9.00        18.00
  34        13.00        18.00
  35        12.00        17.00
  36        12.00        17.00
  37         9.00        18.00
  38         8.00        14.00
  39         9.00        18.00
  40        12.00        16.00
  41         9.00        17.00
  42        12.00        17.00
  43         7.50        11.50
  44         8.00        17.00
  45         8.00        13.00
  46         8.00        17.00
  47        13.00        18.00
  48        10.00        16.00
  49        13.00        17.00
  50         9.00        15.00
  51         9.00        17.00
  52        12.00        16.00
  53         9.00        13.00
  54        13.00        17.00
  55         7.00        11.00
  56         9.00        12.00
  57        10.00        16.00
  58        13.00        17.00
  59         8.00        13.00
  60        13.00        17.00
  61        14.00        18.00
  62        11.00        15.00
  63        13.00        17.00
  64        10.00        14.00
  65         8.00        14.00
  66         9.00        12.00
  67         9.00        14.00
  68        14.00        18.00
  69         9.00        17.00
  70         9.00        13.00
  71         8.00        17.00
  72         9.00        14.00
  73         9.00        18.00
  74        10.00        16.00
  75        10.00        16.00
  76        13.00        18.00
  77        14.00        18.00
  78        12.00        16.00
  79         8.00        13.00
  80        12.00        17.00
  81         8.00        14.00
  82        12.00        16.00
  83        12.00        16.00
  84        10.00        14.00
  85         7.00        11.00
  86         7.50        11.50
  87        12.00        16.00
  88        14.00        18.00
  89         8.00        12.00
  90         9.00        12.00
  91        13.00        18.00
  92         8.00        13.00
  93        12.00        16.00
  94         8.00        12.00
  95        10.00        14.00
  96         8.00        12.00
  97         8.00        12.00
  98         9.00        12.00
  99         8.00        12.00
 100         8.00        17.00
 101         8.00        14.00
 102         9.00        14.00
 103         8.50        12.50
 104         9.00        15.00
 105         8.00        14.00
 106         7.50        11.50
 107        10.00        16.00
 108         8.00        14.00
 109         9.00        15.00
 110         8.00        17.00
 111        12.00        16.00
 112         8.00        14.00
 113         7.50        11.50
 114         7.50        11.50
 115         9.00        13.00
 116        12.00        16.00
 117         9.00        17.00
 118         9.00        12.00
 119         9.00        18.00
 120         7.50        11.50
 121         7.50        11.50
 122         8.00        14.00
 123        10.00        14.00
 124        11.00        15.00
 125        10.00        14.00
 126         9.00        13.00
 127        14.00        18.00
 128         8.00        14.00
 129         9.00        14.00
 130        13.00        18.00
 131        13.00        17.00
 132         9.00        14.00
 133        10.00        14.00
 134        13.00        17.00
 135        14.00        18.00
 136         8.00        14.00
 137         7.00        11.00
 138         9.00        17.00
 139        10.00        16.00
 140         8.00        12.00
 141        13.00        17.00
 142         8.00        13.00
 143         8.00        12.00
 144        13.00        17.00
 145         7.50        11.50
 146         8.00        17.00
 147         9.00        12.00
 148         8.00        12.00
 149         9.00        17.00
 150        12.00        16.00
 151         8.00        12.00
 152        13.00        17.00
 153        11.00        15.00
 154         8.00        14.00
 155        10.00        16.00
 156         9.00        14.00
 157        14.00        18.00
 158        14.00        18.00
 159         8.00        14.00
 160         8.00        12.00
 161        12.00        17.00
 162         8.50        12.50
 163        12.00        16.00
 164         9.00        17.00
 165         8.50        12.50
 166         9.00        14.00
 167        11.00        15.00
 168         9.00        13.00
 169        11.00        15.00
 170         9.00        12.00
 171         8.00        12.00
 172         8.00        14.00
 173         9.00        13.00
 174         8.00        14.00
 175         7.00        11.00
 176        12.00        16.00
 177         8.00        12.00
 178        10.00        16.00
 179        12.00        16.00
 180        10.00        14.00
 181         8.00        17.00
 182         8.50        12.50
 183        12.00        16.00
 184         9.00        14.00
 185        12.00        17.00
 186        12.00        17.00
 187        13.00        18.00
 188         8.00        17.00
 189        12.00        16.00
 190        10.00        16.00
 191         7.50        11.50
 192        13.00        17.00
 193         8.50        12.50
 194         9.00        15.00
 195         7.50        11.50
 196         8.00        12.00
 197        12.00        16.00
 198         8.00        17.00
 199         9.00        12.00
 200        12.00        17.00
