TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         9.00        13.00
   2        12.00        17.00
   3         8.50        12.50
   4        14.00        18.00
   5         9.00        13.00
   6        12.00        17.00
   7         8.00        17.00
   8         8.00        12.00
   9         8.50        12.50
  10         9.00        13.00
  11         7.50        11.50
  12         9.00        13.00
  13         9.00        17.00
  14         8.00        14.00
  15        10.00        16.00
  16        10.00        14.00
  17        13.00        18.00
  18        11.00        15.00
  19         7.50        11.50
  20         8.50        12.50
  21         7.00        11.00
  22         7.50        11.50
  23         8.50        12.50
  24         8.00        17.00
  25         8.00        17.00
  26         9.00        13.00
  27         9.00        15.00
  28         9.00        12.00
  29        10.00        14.00
  30        10.00        14.00
  31         9.00        13.00
  32         8.00        14.00
  33        13.00        17.00
  34        10.00        14.00
  35         9.00        12.00
  36        13.00        18.00
  37        13.00        18.00
  38         8.50        12.50
  39         9.00        12.00
  40        10.00        14.00
  41        10.00        16.00
  42        11.00        15.00
  43        10.00        14.00
  44        11.00        15.00
  45        14.00        18.00
  46         7.50        11.50
  47         8.00        13.00
  48         8.00        14.00
  49         8.00        13.00
  50         8.00        14.00
  51        10.00        14.00
  52         9.00        15.00
  53         8.00        13.00
  54         8.00        13.00
  55         8.00        13.00
  56         8.00        13.00
  57         9.00        12.00
  58         8.50        12.50
  59        13.00        17.00
  60         8.00        14.00
  61         8.00        12.00
  62         9.00        13.00
  63         9.00        14.00
  64         8.00        12.00
  65        13.00        17.00
  66         8.00        13.00
  67         7.00        11.00
  68        10.00        14.00
  69         9.00        15.00
  70         9.00        15.00
  71        13.00        17.00
  72         8.00        13.00
  73         9.00        17.00
  74        12.00        17.00
  75         9.00        18.00
  76         7.50        11.50
  77         8.00        13.00
  78         9.00        14.00
  79        12.00        17.00
  80         9.00        17.00
  81         8.00        14.00
  82         9.00        17.00
  83        11.00        15.00
  84         8.00        13.00
  85         9.00        18.00
  86         9.00        12.00
  87         7.50        11.50
  88         9.00        17.00
  89         8.00        13.00
  90         7.00        11.00
  91        10.00        14.00
  92         8.00        12.00
  93        11.00        15.00
  94         7.00        11.00
  95        10.00        16.00
  96        12.00        16.00
  97         8.00        13.00
  98         7.50        11.50
  99         7.50        11.50
 100         7.00        11.00
 101         7.50        11.50
 102        12.00        17.00
 103         9.00        15.00
 104         8.00        12.00
 105         9.00        18.00
 106        13.00        17.00
 107         7.50        11.50
 108         8.00        12.00
 109         8.00        17.00
 110         8.00        13.00
 111         9.00        15.00
 112        10.00        16.00
 113         8.00        14.00
 114        13.00        17.00
 115        13.00        17.00
 116         9.00        14.00
 117        10.00        16.00
 118        10.00        14.00
 119        10.00        16.00
 120        12.00        16.00
 121         8.50        12.50
 122         9.00        17.00
 123        10.00        16.00
 124         9.00        18.00
 125         9.00        12.00
 126         9.00        12.00
 127         9.00        18.00
 128         9.00        13.00
 129         8.00        13.00
 130         8.50        12.50
 131         8.50        12.50
 132        10.00        14.00
 133        10.00        16.00
 134        12.00        16.00
 135        13.00        17.00
 136        12.00        16.00
 137         8.00        17.00
 138        14.00        18.00
 139        11.00        15.00
 140         9.00        18.00
 141         8.50        12.50
 142         8.00        17.00
 143        14.00        18.00
 144         9.00        14.00
 145         9.00        17.00
 146         9.00        17.00
 147        10.00        16.00
 148         9.00        13.00
 149         9.00        17.00
 150         8.00        13.00
 151         8.00        14.00
 152         9.00        15.00
 153         9.00        14.00
 154         9.00        17.00
 155         8.00        12.00
 156         7.00        11.00
 157         9.00        15.00
 158        12.00        16.00
 159        12.00        16.00
 160         7.00        11.00
 161         8.00        14.00
 162        11.00        15.00
 163        13.00        18.00
 164         9.00        14.00
 165        12.00        17.00
 166        12.00        16.00
 167        14.00        18.00
 168         8.00        17.00
 169         8.00        13.00
 170         7.00        11.00
 171         9.00        15.00
 172         9.00        15.00
 173         8.00        12.00
 174        11.00        15.00
 175         7.50        11.50
 176         8.00        12.00
 177         8.00        12.00
 178         9.00        12.00
 179         7.00        11.00
 180        14.00        18.00
 181         7.50        11.50
 182        13.00        17.00
 183        12.00        16.00
 184         8.00        14.00
 185         9.00        18.00
 186        12.00        16.00
 187         8.00        14.00
 188         7.50        11.50
 189         8.00        12.00
 190        12.00        17.00
 191         9.00        15.00
 192         9.00        13.00
 193         9.00        12.00
 194         8.00        17.00
 195         7.50        11.50
 196         7.50        11.50
 197         9.00        18.00
 198         8.00        12.00
 199         7.00        11.00
 200         8.00        13.00
