TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         8.00        12.00
   2        13.00        18.00
   3        12.00        17.00
   4        13.00        17.00
   5         7.00        11.00
   6        13.00        17.00
   7        13.00        18.00
   8        12.00        16.00
   9         8.00        12.00
  10        14.00        18.00
  11         8.00        14.00
  12         9.00        17.00
  13         8.00        13.00
  14         9.00        18.00
  15         7.50        11.50
  16         9.00        15.00
  17         8.00        17.00
  18        12.00        16.00
  19        14.00        18.00
  20         9.00        18.00
  21        11.00        15.00
  22        13.00        17.00
  23         8.00        13.00
  24         9.00        12.00
  25        11.00        15.00
  26         9.00        15.00
  27         7.00        11.00
  28         8.00        12.00
  29        12.00        16.00
  30        13.00        18.00
  31         9.00        14.00
  32         8.00        14.00
  33        13.00        17.00
  34         9.00        13.00
  35         9.00        15.00
  36        12.00        16.00
  37        11.00        15.00
  38         8.00        17.00
  39         9.00        15.00
  40         9.00        17.00
  41         9.00        13.00
  42         8.00        17.00
  43         9.00        12.00
  44        13.00        18.00
  45        10.00        14.00
  46         8.00        12.00
  47        12.00        17.00
  48         9.00        18.00
  49        12.00        16.00
  50         8.50        12.50
  51         8.50        12.50
  52         9.00        12.00
  53         9.00        12.00
  54         9.00        13.00
  55         8.00        17.00
  56        10.00        16.00
  57         7.50        11.50
  58         9.00        18.00
  59         7.00        11.00
  60        12.00        17.00
  61        13.00        18.00
  62         8.50        12.50
  63         8.00        12.00
  64         8.00        17.00
  65        14.00        18.00
  66         9.00        15.00
  67        13.00        18.00
  68         9.00        12.00
  69         8.00        14.00
  70        13.00        18.00
  71         8.00        17.00
  72         8.00        13.00
  73        12.00        16.00
  74        12.00        16.00
  75         9.00        14.00
  76         8.00        14.00
  77        13.00        18.00
  78         8.00        12.00
  79         9.00        18.00
  80         9.00        13.00
  81         9.00        15.00
  82        12.00        16.00
  83         9.00        13.00
  84        10.00        16.00
  85         9.00        15.00
  86        13.00        18.00
  87         8.00        12.00
  88         8.00        13.00
  89         9.00        18.00
  90         8.00        14.00
  91         8.00        17.00
  92        11.00        15.00
  93         9.00        17.00
  94         8.00        13.00
  95         7.00        11.00
  96         9.00        13.00
  97         8.00        14.00
  98         9.00        17.00
  99         8.00        17.00
 100         9.00        14.00
