TIME_WINDOWS
loja    horario_inicio    horario_fim
   1        10.00        16.00
   2         8.00        12.00
   3         9.00        18.00
   4        12.00        17.00
   5        10.00        16.00
   6        12.00        16.00
   7         8.00        13.00
   8         9.00        14.00
   9         8.00        14.00
  10        13.00        17.00
  11         7.00        11.00
  12         8.00        14.00
  13         7.50        11.50
  14        12.00        16.00
  15         7.00        11.00
  16        10.00        14.00
  17         9.00        13.00
  18         8.00        13.00
  19        10.00        14.00
  20        12.00        16.00
  21        12.00        16.00
  22        11.00        15.00
  23        13.00        18.00
  24         8.00        12.00
  25        11.00        15.00
  26         8.00        14.00
  27        12.00        16.00
  28         9.00        17.00
  29         9.00        18.00
  30        12.00        17.00
  31        10.00        16.00
  32        12.00        16.00
  33         9.00        18.00
  34        12.00        16.00
  35         8.00        13.00
  36         8.00        13.00
  37         9.00        17.00
  38        14.00        18.00
  39         8.00        13.00
  40        10.00        16.00
  41         7.50        11.50
  42         7.50        11.50
  43        12.00        16.00
  44         9.00        17.00
  45        14.00        18.00
  46         9.00        17.00
  47        14.00        18.00
  48        14.00        18.00
  49         9.00        15.00
  50        10.00        16.00
  51         9.00        17.00
  52         9.00        18.00
  53        12.00        17.00
  54         8.00        17.00
  55         9.00        12.00
  56         9.00        14.00
  57         8.00        17.00
  58        13.00        18.00
  59         8.00        17.00
  60         9.00        15.00
  61        12.00        17.00
  62         8.00        14.00
  63        10.00        16.00
  64        12.00        16.00
  65        10.00        16.00
  66         7.50        11.50
  67         8.00        12.00
  68         9.00        17.00
  69         9.00        18.00
  70        11.00        15.00
  71         8.50        12.50
  72        12.00        16.00
  73         8.00        13.00
  74         8.50        12.50
  75         7.50        11.50
  76        13.00        17.00
  77         8.50        12.50
  78        10.00        16.00
  79         7.50        11.50
  80         9.00        14.00
  81         9.00        15.00
  82         8.00        13.00
  83         9.00        14.00
  84         8.00        17.00
  85         9.00        17.00
  86         9.00        13.00
  87         8.00        13.00
  88        11.00        15.00
  89         7.00        11.00
  90         9.00        18.00
  91         8.00        12.00
  92        10.00        16.00
  93         8.00        17.00
  94         9.00        13.00
  95        13.00        18.00
  96         9.00        15.00
  97         8.00        17.00
  98         9.00        18.00
  99         7.00        11.00
 100        11.00        15.00
 101        14.00        18.00
 102        10.00        14.00
 103        13.00        17.00
 104        13.00        18.00
 105        10.00        16.00
 106         9.00        18.00
 107        14.00        18.00
 108        13.00        18.00
 109         7.00        11.00
 110        10.00        14.00
 111         7.50        11.50
 112        12.00        17.00
 113         9.00        12.00
 114         8.00        14.00
 115        11.00        15.00
 116        13.00        17.00
 117         9.00        18.00
 118         9.00        18.00
 119        10.00        14.00
 120         8.50        12.50
 121         9.00        14.00
 122         9.00        15.00
 123         8.50        12.50
 124        14.00        18.00
 125         9.00        14.00
 126        10.00        14.00
 127         8.00        12.00
 128        14.00        18.00
 129         8.00        12.00
 130        12.00        16.00
 131         8.00        14.00
 132        12.00        16.00
 133        13.00        18.00
 134         8.50        12.50
 135         9.00        12.00
 136         7.50        11.50
 137        14.00        18.00
 138         9.00        18.00
 139        13.00        18.00
 140         9.00        15.00
 141        11.00        15.00
 142         9.00        15.00
 143        14.00        18.00
 144        14.00        18.00
 145        13.00        18.00
 146        14.00        18.00
 147         9.00        12.00
 148        10.00        14.00
 149        14.00        18.00
 150         7.50        11.50
 151         9.00        17.00
 152        10.00        16.00
 153         9.00        12.00
 154         9.00        17.00
 155         8.50        12.50
 156         8.00        13.00
 157         9.00        13.00
 158         9.00        12.00
 159         9.00        13.00
 160         9.00        18.00
 161        13.00        18.00
 162        11.00        15.00
 163        14.00        18.00
 164        13.00        18.00
 165         9.00        13.00
 166         9.00        15.00
 167         8.00        13.00
 168        12.00        17.00
 169         8.00        13.00
 170        14.00        18.00
 171         9.00        17.00
 172         8.50        12.50
 173        13.00        18.00
 174         9.00        13.00
 175         9.00        18.00
 176         7.50        11.50
 177         7.50        11.50
 178        13.00        17.00
 179        14.00        18.00
 180        11.00        15.00
 181        13.00        18.00
 182         8.00        12.00
 183         8.00        13.00
 184         8.50        12.50
 185        13.00        17.00
 186         8.00        14.00
 187        14.00        18.00
 188        13.00        17.00
 189        10.00        14.00
 190        12.00        17.00
 191         8.00        14.00
 192         8.00        13.00
 193         8.00        14.00
 194        10.00        14.00
 195         7.00        11.00
 196         9.00        13.00
 197         9.00        12.00
 198         9.00        17.00
 199         8.00        13.00
 200         7.50        11.50
