TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         8.00        12.00
   2         8.00        14.00
   3         8.50        12.50
   4         8.00        13.00
   5        11.00        15.00
   6         8.00        17.00
   7        12.00        17.00
   8         8.00        12.00
   9         7.50        11.50
  10         9.00        15.00
  11        14.00        18.00
  12         9.00        13.00
  13         8.00        14.00
  14         7.00        11.00
  15         8.00        14.00
  16        13.00        17.00
  17         8.00        14.00
  18        11.00        15.00
  19        13.00        17.00
  20        14.00        18.00
  21         8.00        13.00
  22         8.00        17.00
  23        14.00        18.00
  24         8.00        17.00
  25         8.00        12.00
  26         8.00        14.00
  27         9.00        13.00
  28         9.00        17.00
  29        12.00        17.00
  30         9.00        13.00
  31        13.00        17.00
  32         9.00        15.00
  33         9.00        17.00
  34         8.00        13.00
  35         9.00        12.00
  36        11.00        15.00
  37        12.00        17.00
  38         8.00        17.00
  39        10.00        14.00
  40        11.00        15.00
  41        12.00        17.00
  42         8.00        14.00
  43         7.00        11.00
  44         8.50        12.50
  45        10.00        16.00
  46        11.00        15.00
  47         9.00        18.00
  48         7.00        11.00
  49         9.00        17.00
  50         8.00        13.00
