TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         9.00        12.00
   2         9.00        12.00
   3         8.00        17.00
   4         9.00        18.00
   5        10.00        16.00
   6         9.00        14.00
   7        13.00        17.00
   8         9.00        15.00
   9        13.00        18.00
  10         7.50        11.50
  11         8.00        13.00
  12         8.50        12.50
  13         9.00        14.00
  14         9.00        15.00
  15        12.00        16.00
  16         9.00        18.00
  17         8.00        14.00
  18        10.00        14.00
  19         8.00        17.00
  20         9.00        12.00
  21        13.00        18.00
  22        13.00        18.00
  23         9.00        12.00
  24         7.00        11.00
  25        12.00        16.00
  26         8.50        12.50
  27         7.00        11.00
  28         8.00        12.00
  29         8.00        12.00
  30        12.00        16.00
  31         9.00        18.00
  32         8.00        12.00
  33         9.00        14.00
  34        11.00        15.00
  35         9.00        15.00
  36         9.00        15.00
  37        10.00        16.00
  38        11.00        15.00
  39        10.00        16.00
  40        11.00        15.00
  41         9.00        18.00
  42        14.00        18.00
  43        10.00        14.00
  44         8.00        17.00
  45         7.50        11.50
  46         7.50        11.50
  47        13.00        17.00
  48         8.00        14.00
  49        12.00        16.00
  50        13.00        18.00
