TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         7.00        11.00
   2        11.00        15.00
   3         9.00        14.00
   4         8.00        13.00
   5        13.00        18.00
   6         9.00        17.00
   7         9.00        13.00
   8        14.00        18.00
   9         8.00        12.00
  10         9.00        14.00
  11         8.00        12.00
  12        10.00        14.00
  13         8.00        14.00
  14         9.00        15.00
  15         8.50        12.50
  16        10.00        16.00
  17         8.00        13.00
  18        12.00        17.00
  19         7.50        11.50
  20         9.00        13.00
  21         9.00        17.00
  22         8.00        17.00
  23         7.50        11.50
  24        11.00        15.00
  25        12.00        17.00
  26        10.00        14.00
  27        11.00        15.00
  28         9.00        14.00
  29         7.50        11.50
  30        13.00        17.00
  31         7.00        11.00
  32         8.50        12.50
  33         7.50        11.50
  34        10.00        16.00
  35        13.00        18.00
  36         9.00        15.00
  37        12.00        17.00
  38         8.00        12.00
  39        13.00        18.00
  40         9.00        15.00
  41         9.00        17.00
  42         9.00        14.00
  43         7.50        11.50
  44         8.00        12.00
  45        10.00        14.00
  46        12.00        17.00
  47        13.00        17.00
  48         8.00        14.00
  49        12.00        17.00
  50         8.00        17.00
  51        13.00        17.00
  52        14.00        18.00
  53         8.00        12.00
  54         9.00        13.00
  55         8.00        17.00
  56        12.00        17.00
  57         8.00        17.00
  58        12.00        16.00
  59         8.00        17.00
  60         7.00        11.00
  61        11.00        15.00
  62        14.00        18.00
  63         9.00        17.00
  64        11.00        15.00
  65         7.00        11.00
  66        10.00        16.00
  67        12.00        16.00
  68        14.00        18.00
  69         9.00        18.00
  70         9.00        14.00
  71        10.00        14.00
  72        13.00        17.00
  73         9.00        14.00
  74         8.50        12.50
  75        12.00        16.00
  76         9.00        15.00
  77        10.00        16.00
  78         8.00        17.00
  79         7.00        11.00
  80         9.00        13.00
  81         7.50        11.50
  82         9.00        15.00
  83        10.00        14.00
  84        11.00        15.00
  85         8.00        13.00
  86        13.00        18.00
  87         9.00        13.00
  88         9.00        18.00
  89        12.00        16.00
  90        13.00        17.00
  91        10.00        14.00
  92         9.00        13.00
  93         8.50        12.50
  94        14.00        18.00
  95        12.00        17.00
  96         8.00        12.00
  97         8.00        14.00
  98        11.00        15.00
  99         8.50        12.50
 100         8.00        17.00
