TIME_WINDOWS
loja    horario_inicio    horario_fim
   1        13.00        18.00
   2        12.00        16.00
   3         7.00        11.00
   4        12.00        16.00
   5        13.00        17.00
   6         9.00        17.00
   7         7.50        11.50
   8         7.50        11.50
   9         7.00        11.00
  10         8.00        14.00
  11         8.00        17.00
  12         9.00        15.00
  13         9.00        15.00
  14         9.00        12.00
  15        12.00        16.00
  16         9.00        14.00
  17        13.00        18.00
  18        11.00        15.00
  19         8.00        12.00
  20        14.00        18.00
  21         9.00        14.00
  22         9.00        12.00
  23         8.00        12.00
  24         8.00        12.00
  25         8.00        14.00
  26        13.00        17.00
  27         8.00        17.00
  28         8.00        13.00
  29         9.00        15.00
  30         8.00        13.00
  31         9.00        13.00
  32        14.00        18.00
  33        13.00        17.00
  34         8.50        12.50
  35         9.00        12.00
  36         9.00        12.00
  37         8.00        14.00
  38        12.00        17.00
  39         9.00        13.00
  40         9.00        18.00
  41         9.00        12.00
  42         9.00        14.00
  43         9.00        14.00
  44         8.00        17.00
  45        10.00        14.00
  46        10.00        14.00
  47         8.00        13.00
  48        12.00        16.00
  49         9.00        13.00
  50         8.50        12.50
  51        13.00        18.00
  52         9.00        12.00
  53         9.00        14.00
  54         8.00        17.00
  55         8.00        17.00
  56        12.00        17.00
  57         9.00        17.00
  58         9.00        15.00
  59        11.00        15.00
  60         8.50        12.50
  61         9.00        13.00
  62        12.00        16.00
  63         8.00        12.00
  64         9.00        18.00
  65         9.00        13.00
  66        11.00        15.00
  67         7.00        11.00
  68         9.00        17.00
  69         8.00        13.00
  70         9.00        15.00
  71         7.50        11.50
  72         9.00        17.00
  73         7.50        11.50
  74        14.00        18.00
  75         9.00        12.00
  76         9.00        18.00
  77         8.00        14.00
  78        12.00        17.00
  79        13.00        18.00
  80        12.00        16.00
  81        12.00        16.00
  82         9.00        13.00
  83         8.00        12.00
  84         9.00        12.00
  85        13.00        17.00
  86         9.00        14.00
  87         8.00        13.00
  88        10.00        14.00
  89        13.00        18.00
  90         8.50        12.50
  91        10.00        14.00
  92        13.00        17.00
  93        11.00        15.00
  94        12.00        17.00
  95         7.00        11.00
  96         8.00        14.00
  97         9.00        18.00
  98        11.00        15.00
  99         8.00        12.00
 100         9.00        13.00
