TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         9.00        17.00
   2         7.50        11.50
   3        14.00        18.00
   4        14.00        18.00
   5        10.00        16.00
   6         8.00        12.00
   7         9.00        12.00
   8        12.00        17.00
   9        11.00        15.00
  10        10.00        14.00
  11         8.00        14.00
  12        14.00        18.00
  13         7.50        11.50
  14         8.50        12.50
  15        12.00        17.00
  16         9.00        15.00
  17         8.00        13.00
  18         8.00        13.00
  19         9.00        14.00
  20        12.00        16.00
  21         7.00        11.00
  22         8.00        13.00
  23         7.50        11.50
  24         8.50        12.50
  25         8.00        14.00
  26        14.00        18.00
  27        11.00        15.00
  28         9.00        18.00
  29         8.00        14.00
  30         9.00        13.00
  31        10.00        16.00
  32        12.00        17.00
  33         8.00        13.00
  34        13.00        18.00
  35         7.00        11.00
  36        10.00        14.00
  37         7.00        11.00
  38         9.00        13.00
  39        13.00        18.00
  40        12.00        17.00
  41        10.00        16.00
  42         8.00        14.00
  43        10.00        16.00
  44        13.00        18.00
  45        12.00        16.00
  46         9.00        15.00
  47        14.00        18.00
  48        13.00        18.00
  49         8.50        12.50
  50         9.00        17.00
