TIME_WINDOWS
loja    horario_inicio    horario_fim
   1         9.00        18.00
   2         9.00        15.00
   3         8.00        14.00
   4         7.00        11.00
   5        13.00        18.00
   6         9.00        17.00
   7         8.00        12.00
   8        13.00        18.00
   9         8.00        13.00
  10        12.00        16.00
  11         8.00        13.00
  12         8.00        12.00
  13         9.00        17.00
  14         8.00        14.00
  15         8.00        17.00
  16        14.00        18.00
  17         7.50        11.50
  18        12.00        16.00
  19         7.00        11.00
  20         9.00        14.00
  21         9.00        12.00
  22         8.00        17.00
  23         9.00        14.00
  24        12.00        16.00
  25         7.50        11.50
  26        13.00        18.00
  27         9.00        14.00
  28        13.00        17.00
  29        10.00        16.00
  30         7.00        11.00
  31        10.00        14.00
  32        14.00        18.00
  33         8.00        13.00
  34         7.50        11.50
  35        10.00        14.00
  36         9.00        17.00
  37        10.00        14.00
  38        11.00        15.00
  39        10.00        16.00
  40         8.50        12.50
  41        12.00        17.00
  42         9.00        12.00
  43         8.00        12.00
  44         7.50        11.50
  45         9.00        17.00
  46         9.00        15.00
  47         9.00        17.00
  48         9.00        17.00
  49         8.00        13.00
  50        14.00        18.00
  51         8.00        14.00
  52         9.00        15.00
  53         9.00        15.00
  54        10.00        16.00
  55        12.00        17.00
  56         9.00        13.00
  57         9.00        14.00
  58        12.00        17.00
  59         8.00        13.00
  60         9.00        13.00
  61        10.00        14.00
  62         9.00        17.00
  63        12.00        16.00
  64        12.00        16.00
  65         8.50        12.50
  66        10.00        16.00
  67        13.00        17.00
  68        10.00        16.00
  69         8.00        12.00
  70         9.00        14.00
  71         8.00        13.00
  72         9.00        17.00
  73         9.00        18.00
  74         8.00        14.00
  75         7.50        11.50
  76         7.00        11.00
  77         8.50        12.50
  78         8.50        12.50
  79        12.00        16.00
  80         8.00        14.00
  81        13.00        17.00
  82         9.00        17.00
  83         8.00        14.00
  84         7.50        11.50
  85         9.00        14.00
  86        10.00        14.00
  87        12.00        17.00
  88         9.00        15.00
  89         8.00        13.00
  90         8.00        12.00
  91         9.00        18.00
  92         9.00        18.00
  93         9.00        15.00
  94         9.00        15.00
  95         9.00        15.00
  96         9.00        15.00
  97         7.50        11.50
  98         8.00        14.00
  99        12.00        16.00
 100         9.00        12.00
