1	KXG9671	1	VUC
2	KWE6I77	1	VUC
3	KTS1226	2	3/4
4	DHO5762	3	3/4
5	EWJ0E39	1	VUC
6	CUD6H30	3	3/4
7	LTO0B12	3	3/4
8	LPL0F17	3	3/4
9	LIR6I90	7	TOCO
10	KWE3409	2	3/4
11	LTK3G50	1	VUC
12	KUB3B28	3	3/4
13	LQG3I38	3	3/4
14	KMM1820	3	3/4
15	GMJ6B94	3	3/4
16	LLN3I43	1	VUC
17	LME7J01	1	VUC
18	KSU7945	2	3/4
19	DQW2H03	3	3/4
20	MSJ5D80	3	3/4
21	LQA7D04	3	3/4
22	OGV3C08	1	VUC
23	KOP1J98	1	VUC
24	KYY9J81	1	VUC
25	KOU2F12	3	3/4
26	LPI4426	3	3/4
27	AQE8920	2	3/4
28	KOG3019	2	3/4
29	LJD1E33	3	3/4
30	LKT2417	1	VUC
31	PEY1F60	1	VUC
32	GUC1H38	3	3/4
33	LQF4834	3	3/4
34	BNT1F46	2	3/4
35	LTR0B49	2	3/4
36	GPZ1F86	3	3/4
37	KVX4F37	1	VUC
38	KMY6284	3	3/4
39	ELW7C61	6	TOCO
40	LOM3F20	3	3/4
41	LMS1D98	2	3/4
42	KYC7660	2	3/4
43	LMS2D36	2	3/4
44	LMY0F46	2	3/4
45	LMS1G71	8	TRUCK
46	LRR6867	8	TRUCK
47	LMS1G70	9	TRUCK
48	LMS1E40	3	3/4
49	LTO6E95	9	TRUCK
50	AUM6B20	2	3/4
51	AUM4I16	2	3/4
52	EMU9C26	6	TOCO
53	NTP7A42	2	3/4
54	NTN3E52	2	3/4
55	AUC8J23	2	3/4
56	AUO8G98	2	3/4
57	LLT9B49	2	3/4
58	LRC7706	2	3/4
59	EQU3D67	8	TRUCK
60	LQQ3H08	3	3/4
61	AMV3D64	2	3/4
62	LCD2E96	2	3/4
63	KQY9F92	2	3/4
64	LQM5566	3	3/4
65	LLT6527	3	3/4
66	KZI4I69	2	3/4
67	KVV6014	3	3/4
68	LQX4465	2	3/4
69	LLT4010	3	3/4
70	LQM5F17	2	3/4
71	LQN5566	2	3/4
72	LLT6525	3	3/4
73	KOZ7790	3	3/4
74	KXD5780	2	3/4
75	LQM5F24	2	3/4
76	LQM5F59	3	3/4
77	KVU8007	2	3/4
78	LQM7753	2	3/4
79	KQY9F44	3	3/4
80	KYT8154	2	3/4
81	LTT4418	3	3/4
82	LLT4077	3	3/4
83	LQM7H57	2	3/4
84	CFZ0B84	2	3/4
85	LRH1591	6	TOCO
86	KVY2G91	1	VUC
87	KZQ4780	6	TOCO
88	BTR1F42	1	VUC
89	LVA6706	6	TOCO
90	KTD7G68	2	3/4
91	LVD7894	6	TOCO
92	LIM7G89	2	3/4
93	KEC8840	2	3/4
94	KOL3519	2	3/4
95	CFC2495	3	3/4
96	NTM2735	7	TOCO
97	DNK9877	6	TOCO
98	LFC8548	8	TRUCK
99	LSH0H65	2	3/4
100	LIN3E01	2	3/4
101	LAJ2E50	2	3/4
102	MFE4C27	2	3/4
103	CIT4F67	2	3/4
104	LRO4262	3	3/4
105	LRO4263	3	3/4
106	LMB7991	3	3/4
107	RJA2D14	7	TOCO
108	GPU1G71	3	3/4
109	LJT2D54	2	3/4
110	RKL0F87	8	TRUCK
111	RKJ0B42	8	TRUCK
112	KOR4D59	8	TRUCK
113	OYE8B82	8	TRUCK
114	LOB1651	7	TOCO
115	HFD7B23	7	TOCO
116	LOR2761	7	TOCO
117	OYD4H07	8	TRUCK
118	PUL6799	8	TRUCK
119	QRG8B81	8	TRUCK
120	AXG8D02	8	TRUCK
121	LAI5D76	3	3/4
122	KWD3816	2	3/4
123	LNK9A81	3	3/4
124	ONQ6A18	8	TRUCK
125	MSG9178	8	TRUCK
126	DJB7J38	8	TRUCK
127	KVX2E37	2	3/4
128	NPR2031	8	TRUCK
129	BKO0388	2	3/4
130	LSL3J10	8	TRUCK
131	EJX7489	8	TRUCK
132	PPT9C55	8	TRUCK
133	OOKOC87	8	TRUCK
